UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,SM Hatfield,Labour,15263,23.09%,,,,
Brigg and Cleethorpes,*,MR Brown,Conservative,31673,49.23%,83510,9179,77.03%,Conservative Hold
,,IA Cawsey,Labour,22494,34.97%,,,,
,,Ms. MR Cockbill,Liberal Democrat,9374,14.57%,,,,
,,DN Jacques,Green,790,1.23%,,,,
,,,,,,,,,
Brighton Kemptown,*,A Bowden,Conservative,21129,48.14%,57649,3056,76.14%,Conservative Hold
,,Mrs GO Haynes,Labour,18073,41.18%,,,,
,,PD Scott,Liberal Democrat,4461,10.16%,,,,
,,Miss EJ Overall,Natural Law,230,0.52%,,,,
,,,,,,,,,
Brighton Pavilion,,DH Spencer,Conservative,20630,46.61%,57618,3675,76.81%,Conservative Hold
,,D Lepper,Labour,16955,38.31%,,,,
,,TH Pearce,Liberal Democrat,5606,12.67%,,,,
,,IM Brodie,Green,963,2.18%,,,,
,,Mrs EJ Turner,Natural Law,103,0.23%,,,,
,,,,,,,,,
Bristol East,,Mrs JA Corston,Labour,22418,44.55%,62659,2692,80.30%,Labour Gain
,*,J Sayeed,Conservative,19726,39.20%,,,,
,,JF Kiely,Liberal Democrat,7903,15.71%,,,,
,,IHM Anderson,National Front,270,0.54%,,,,
,,,,,,,,,
Bristol North West,*,MC Stern,Conservative,25354,42.33%,72760,45,82.31%,Conservative Hold
,,JD Naysmith,Labour/Co-operative,25309,42.26%,,,,
,,JD Taylor,Liberal Democrat,8498,14.19%,,,,
,,Mrs HS Long,Independent Ind SD,729,1.22%,,,,
,,,,,,,,,
Bristol South,*,Mrs D Primarolo,Labour,25164,50.20%,64403,8919,77.83%,Labour Hold
,,JS Bercow,Conservative,16245,32.41%,,,,
,,PN Crossley,Liberal Democrat,7822,15.61%,,,,
,,JH Boxall,Green,756,1.51%,,,,
,,ND Phillips,Natural Law,136,0.27%,,,,
,,,,,,,,,
Bristol West,*,WA Waldegrave,Conservative,22169,42.23%,70945,6071,73.99%,Conservative Hold
,,CR Boney,Liberal Democrat,16098,30.67%,,,,
,,H Bashforth,Labour,12992,24.75%,,,,
,,GAR Sawday,Green,906,1.73%,,,,
,,DJ Cross,Natural Law,104,0.20%,,,,
,,B Brent,Revolutionary Communist,92,0.18%,,,,
,,PJ Hammond,Independent,87,0.17%,,,,
,,TPE Hedges,Anti-Federalist League,42,0.08%,,,,
,,,,,,,,,
Bromsgrove,,KR Thomason,Conservative,31709,54.05%,71085,13702,82.52%,Conservative Hold
,,Ms. CMV Mole,Labour,18007,30.70%,,,,
,,Ms. AJ Cassin,Liberal Democrat,8090,13.79%,,,,
,,JC Churchman,Green,856,1.46%,,,,
,,,,,,,,,
Broxbourne,,Mrs MA Roe,Conservative,36094,62.60%,72127,23970,79.94%,Conservative Hold
,,M Hudson,Labour,12124,21.03%,,,,
,,Mrs JM Davies,Liberal Democrat,9244,16.03%,,,,
,,G Woolhouse,Natural Law,198,0.34%,,,,
,,,,,,,,,
Broxtowe,*,JT Lester,Conservative,31096,50.99%,73124,9891,83.40%,Conservative Hold
,,JRW Walker,Labour,21205,34.77%,,,,
,,JD Ross,Liberal Democrat,8395,13.76%,,,,
,,D Lukehurst,Natural Law,293,0.48%,,,,
,,,,,,,,,
Buckingham,*,GGH Walden,Conservative,29496,62.47%,56064,19791,84.22%,Conservative Hold
,,HT Jones,Liberal Democrat,9705,20.55%,,,,
,,KM White,Labour,7662,16.23%,,,,
,,LR Sheaff,Natural Law,353,0.75%,,,,
,,,,,,,,,
Burnley,*,PL Pike,Labour,27184,53.00%,69128,11491,74.20%,Labour Hold
,,Mrs B Binge,Conservative,15693,30.60%,,,,
,,G Birtwistle,Liberal Democrat,8414,16.40%,,,,
,,,,,,,,,
Burton,*,IJ Lawrence,Conservative,30845,49.69%,75293,5996,82.44%,Conservative Hold
,,Ms. PK Muddyman,Labour,24849,40.03%,,,,
,,RC Renold,Liberal Democrat,6375,10.27%,,,,
,,,,,,,,,
Bury North,*,AJH Burt,Conservative,29266,49.65%,69531,4764,84.77%,Conservative Hold
,,J Dobbin,Labour,24502,41.57%,,,,
,,CFL McGrath,Liberal Democrat,5010,8.50%,,,,
,,MS Sullivan,Natural Law,163,0.28%,,,,
,,,,,,,,,
Bury South,*,DAG Sumberg,Conservative,24873,46.05%,65793,788,82.10%,Conservative Hold
,,Mrs H-A Blears,Labour,24085,44.59%,,,,
,,AH Cruden,Liberal Democrat,4832,8.95%,,,,
,,Mrs NA Sullivan,Natural Law,228,0.42%,,,,
,,,,,,,,,
Bury St. Edmunds,,RJG Spring,Conservative,33554,53.53%,79462,18787,78.89%,Conservative Hold
,,T Sheppard,Labour,14767,23.56%,,,,
,,JB Williams,Liberal Democrat,13814,22.04%,,,,
,,Ms. JB Lillis,Natural Law,550,0.88%,,,,
,,,,,,,,,
Caernarfon,*,DW Wigley,Plaid Cymru,21439,59.03%,45348,14476,80.09%,Plaid Cymru Hold
,,PEH Fowler,Conservative,6963,19.17%,,,,
,,Ms. S Mainwaring,Labour,5641,15.53%,,,,
,,RAW Williams,Liberal Democrat,2101,5.79%,,,,
,,G Evans,Natural Law,173,0.48%,,,,
,,,,,,,,,
Caerphilly,*,R Davies,Labour,31713,63.65%,64555,22672,77.18%,Labour Hold
,,HL Philpott,Conservative,9041,18.15%,,,,
,,LG Whittle,Plaid Cymru,4821,9.68%,,,,
,,SW Wilson,Liberal Democrat,4247,8.52%,,,,
,,,,,,,,,
Caithness and Sutherland,*,RAR MacLennan,Liberal Democrat,10032,45.13%,30677,5365,72.47%,Liberal Democrat Gain
,,G Bruce,Conservative,4667,20.99%,,,,
,,AWK MacGregor,Scottish National,4049,18.21%,,,,
,,MF Coyne,Labour,3483,15.67%,,,,
,,,,,,,,,
Calder Valley,*,Sir D Thompson,Conservative,27753,45.43%,74418,4878,82.09%,Conservative Hold
,,DM Chaytor,Labour,22875,37.44%,,,,
,,SJ Pearson,Liberal Democrat,9842,16.11%,,,,
,,Ms. VP Smith,Green,622,1.02%,,,,
,,,,,,,,,
Cambridge,,Mrs A Campbell,Labour,20039,39.67%,69011,580,73.20%,Labour Gain
,,MA Bishop,Conservative,19459,38.52%,,,,
,,DR Howarth,Liberal Democrat,10037,19.87%,,,,
,,TH Cooper,Green,720,1.43%,,,,
,,NJ Brettell-Winnington,Monster Raving Loony,175,0.35%,,,,
,,RA Chalmers,Natural Law,83,0.16%,,,,
,,,,,,,,,
Cambridgeshire North East,*,MD Moss,Conservative,34288,54.04%,79991,15093,79.33%,Conservative Hold
,,ML Leeke,Liberal Democrat,19195,30.25%,,,,
,,RJ Harris,Labour,8746,13.78%,,,,
,,CD Ash,Liberal,998,1.57%,,,,
,,Mrs MJ Chalmers,Natural Law,227,0.36%,,,,
,,,,,,,,,
Cambridgeshire South East,*,JET Paice,Conservative,36693,57.94%,78601,23810,80.57%,Conservative Hold
,,RE Wotherspoon,Liberal Democrat,12883,20.34%,,,,
,,AM Jones,Labour,12688,20.03%,,,,
,,JW Marsh,Green,836,1.32%,,,,
,,Ms. BD Langridge,Natural Law,231,0.36%,,,,
,,,,,,,,,
Cambridgeshire South West,*,Sir JA Grant,Conservative,38902,56.82%,84419,19639,81.10%,Conservative Hold
,,Ms. SM Sutton,Liberal Democrat,19263,28.13%,,,,
,,KA Price,Labour,9378,13.70%,,,,
,,Ms. LJ Whitebread,Green,699,1.02%,,,,
,,FC Chalmers,Natural Law,225,0.33%,,,,
,,,,,,,,,
Cannock and Burntwood,,Dr. AW Wright,Labour,28139,46.02%,72522,1506,84.31%,Labour Gain
,*,JGD Howarth,Conservative,26633,43.56%,,,,
,,PW Treasaden,Liberal Democrat,5899,9.65%,,,,
,,M Hartshorne,Monster Raving Loony,469,0.77%,,,,
,,,,,,,,,
Canterbury,*,JWH Brazier,Conservative,29827,50.78%,75180,10805,78.13%,Conservative Hold
,,M J Vye,Liberal Democrat,19022,32.39%,,,,
,,MF Whitemore,Labour,8936,15.21%,,,,
,,Ms. WJ Arnall,Green,747,1.27%,,,,
,,Ms. SE Curphey,Natural Law,203,0.35%,,,,
,,,,,,,,,
Cardiff Central,,J Owen Jones,Labour/Co-operative,18014,41.98%,57780,3465,74.27%,Labour/Co-operative Gain
,*,I Grist,Conservative,14549,33.90%,,,,
,,Mrs JE Randerson,Liberal Democrat,9170,21.37%,,,,
,,H Marshall,Plaid Cymru,748,1.74%,,,,
,,CJ Von Ruhland,Green,330,0.77%,,,,
,,BM Francis,Natural Law,105,0.24%,,,,
,,,,,,,,,
Cardiff North,*,GH Jones,Conservative,21547,45.14%,56757,2969,84.10%,Conservative Hold
,,Mrs J Morgan,Labour,18578,38.92%,,,,
,,Mrs E Warlow,Liberal Democrat,6487,13.59%,,,,
,,Mrs EM Bush,Plaid Cymru,916,1.92%,,,,
,,JH Morse,British National,121,0.25%,,,,
,,DL Palmer,Natural Law,86,0.18%,,,,
,,,,,,,,,
Cardiff South and Penarth,*,AE Michael,Labour/Co-operative,26383,55.54%,61490,10425,77.25%,Labour/Co-operative Hold
,,THunter Jarvie,Conservative,15958,33.60%,,,,
,,PK Verma,Liberal Democrat,3707,7.80%,,,,
,,Miss BA Anglezarke,Plaid Cymru,776,1.63%,,,,
,,L Davey,Green,676,1.42%,,,,
,,,,,,,,,
Cardiff West,*,HR Morgan,Labour,24306,53.20%,58936,9291,77.51%,Labour Hold
,,MJ Prior,Conservative,15015,32.87%,,,,
,,Mrs J-A Gasson,Liberal Democrat,5002,10.95%,,,,
,,Miss PM Bestic,Plaid Cymru,1177,2.58%,,,,
,,AE Harding,Natural Law,184,0.40%,,,,
,,,,,,,,,
Carlisle,*,EA Martlew,Labour,20479,46.78%,55140,3108,79.40%,Labour Hold
,,CW Condie,Conservative,17371,39.68%,,,,
,,RE Aldersey,Liberal Democrat,5740,13.11%,,,,
,,Mrs NE Robinson,Natural Law,190,0.43%,,,,
,,,,,,,,,
Carmarthen,*,Dr. AW Williams,Labour,20879,36.65%,68920,2922,82.66%,Labour Hold
,,HRG Thomas,Plaid Cymru,17957,31.52%,,,,
,,SJ Cavenagh,Conservative,12782,22.44%,,,,
,,Mrs JMJ Hughes,Liberal Democrat,5353,9.40%,,,,
,,,,,,,,,
"Carrick Cumnock and Doon Valley",*,G Foulkes,Labour,25182,59.09%,55332,16666,77.01%,Labour Hold
,,JAD Boswell,Conservative,8516,19.98%,,,,
,,CE Douglas,Scottish National,6910,16.22%,,,,
,,Ms. MC Paris,Liberal Democrat,2005,4.71%,,,,
,,,,,,,,,
Carshalton and Wallington,*,FN Forman,Conservative,26243,49.74%,65209,9943,80.90%,Conservative Hold
,,TA Brake,Liberal Democrat,16300,30.90%,,,,
,,Miss M Moran,Labour,9333,17.69%,,,,
,,RW Steel,Green,614,1.16%,,,,
,,DJB Bamford,Raving Loony Green Giant,266,0.50%,,,,
,,,,,,,,,
Castle Point,,Dr. RM Spink,Conservative,29629,55.61%,66229,16830,80.45%,Conservative Hold
,,DFL Flack,Labour,12799,24.02%,,,,
,,ARK Petchey,Liberal Democrat,10208,19.16%,,,,
,,Mrs IL Willis,Green,643,1.21%,,,,
,,,,,,,,,
Ceredigion and Pembroke North,,CG Dafis,Plaid Cymru,16020,31.29%,66166,3193,77.38%,Plaid Cymru Gain
,*,GW Howells,Liberal Democrat,12827,25.05%,,,,
,,OJ Williams,Conservative,12718,24.84%,,,,
,,JR Davies,Labour,9637,18.82%,,,,
,,,,,,,,,
Cheadle,*,SR Day,Conservative,32504,58.21%,66131,15778,84.44%,Conservative Hold
,,Mrs Patsy Calton,Liberal Democrat,16726,29.95%,,,,
,,Mrs SR Broadhurst,Labour,6442,11.54%,,,,
,,Mrs PM Whittle,Natural Law,168,0.30%,,,,
,,,,,,,,,
Chelmsford,*,SHM Burns,Conservative,39043,55.30%,83440,18260,84.62%,Conservative Hold
,,HP Nicholson,Liberal Democrat,20783,29.44%,,,,
,,Dr. RK Chad,Labour,10010,14.18%,,,,
,,Ms. EJ Burgess,Green,769,1.09%,,,,
,,,,,,,,,
Chelsea,*,NP Scott,Conservative,17471,65.12%,42372,12789,63.31%,Conservative Hold
,,Miss RE Horton,Labour,4682,17.45%,,,,
,,Mrs SN Broidy,Liberal Democrat,4101,15.29%,,,,
,,Miss N Kortvelyessy,Green,485,1.81%,,,,
,,DGF Armstrong,Anti-Federalist League,88,0.33%,,,,
,,,,,,,,,
Cheltenham,,ND Jones,Liberal Democrat,30351,47.34%,79806,1668,80.33%,Liberal Democrat Gain
,,JDB Taylor,Conservative,28683,44.74%,,,,
,,Mrs PR Tatlow,Labour,4077,6.36%,,,,
,,MD Rendell,Independent,665,1.04%,,,,
,,HW Brighouse,Natural Law,169,0.26%,,,,
,,MA Bruce-Smith,Independent,162,0.25%,,,,
,,,,,,,,,
Chertsey and Walton,*,GE Pattie,Conservative,34164,60.21%,70675,22820,80.29%,Conservative Hold
,,AL Kremer,Liberal Democrat,11344,19.99%,,,,
,,Mrs I Hamilton,Labour,10793,19.02%,,,,
,,Mrs SA Bennell,Green,444,0.78%,,,,
,,,,,,,,,
Chesham and Amersham,,Mrs CEK Gillan,Conservative,36273,63.34%,69898,22220,81.93%,Conservative Hold
,,AT Ketteringham,Liberal Democrat,14053,24.54%,,,,
,,Miss CK Atherton,Labour,5931,10.36%,,,,
,,Ms. CL Strickland,Green,753,1.31%,,,,
,,MTL Griffith-Jones,Natural Law,255,0.45%,,,,
,,,,,,,,,
Chester,,GD Brandreth,Conservative,23411,44.06%,63319,1101,83.91%,Conservative Hold
,,DE Robinson,Labour,22310,41.99%,,,,
,,JG Smith,Liberal Democrat,6867,12.92%,,,,
,,MT Barker,Green,448,0.84%,,,,
,,SRH Cross,Natural Law,98,0.18%,,,,
,,,,,,,,,
Chesterfield,*,ANW Benn,Labour,26461,47.27%,71685,6414,78.09%,Labour Hold
,,AH Rogers,Liberal Democrat,20047,35.81%,,,,
,,PG Lewis,Conservative,9473,16.92%,,,,
,,,,,,,,,
Chichester,*,RA Nelson,Conservative,37906,59.34%,82126,20887,77.78%,Conservative Hold
,,PF Gardiner,Liberal Democrat,17019,26.64%,,,,
,,Mrs DM Andrewes,Labour,7192,11.26%,,,,
,,E Paine,Green,876,1.37%,,,,
,,Ms. JL Weights,Liberal,643,1.01%,,,,
,,Ms. JL Jackson,Natural Law,238,0.37%,,,,
,,,,,,,,,
Chingford,,GI Duncan Smith,Conservative,25730,59.22%,55466,14938,78.33%,Conservative Hold
,,PJ Dawe,Labour,10792,24.84%,,,,
,,SG Banks,Liberal Democrat,5705,13.13%,,,,
,,DW Green,Liberal,602,1.39%,,,,
,,JM Baguley,Green,575,1.32%,,,,
,,Rev. CM Johns,Independent,41,0.09%,,,,
,,,,,,,,,
Chipping Barnet,*,SB Chapman,Conservative,25589,56.98%,57150,13951,78.58%,Conservative Hold
,,AJ Williams,Labour,11638,25.91%,,,,
,,DH Smith,Liberal Democrat,7247,16.14%,,,,
,,Mrs D Derksen,Natural Law,222,0.49%,,,,
,,CV Johnson,Independent,213,0.47%,,,,
,,,,,,,,,
Chislehurst,*,RE Sims,Conservative,24761,58.36%,53783,15276,78.89%,Conservative Hold
,,RI Wingfield,Labour,9485,22.35%,,,,
,,TWM Hawthorne,Liberal Democrat,6683,15.75%,,,,
,,I Richmond,Liberal,849,2.00%,,,,
,,Mrs FM Speed,Green,652,1.54%,,,,
,,,,,,,,,
Chorley,*,DR Dover,Conservative,30715,47.23%,78514,4246,82.84%,Conservative Hold
,,RC McManus,Labour,26469,40.70%,,,,
,,Ms. J Ross-Mills,Liberal Democrat,7452,11.46%,,,,
,,PDN Leadbetter,Natural Law,402,0.62%,,,,
,,,,,,,,,
Christchurch,*,RJ Adley,Conservative,36627,63.53%,71469,23015,80.67%,Conservative Hold
,,Rev. D Bussey,Liberal Democrat,13612,23.61%,,,,
,,A Lloyd,Labour,6997,12.14%,,,,
,,JT Barratt,Natural Law,243,0.42%,,,,
,,AD Wareham,Independent,175,0.30%,,,,
,,,,,,,,,
Cirencester and Tewkesbury,,GR Clifton-Brown,Conservative,40258,55.56%,88413,16058,81.95%,Conservative Hold
,,EJ Weston,Liberal Democrat,24200,33.40%,,,,
,,TA Page,Labour,7262,10.02%,,,,
,,R Clayton,Natural Law,449,0.62%,,,,
,,PA Trice-Rolph,Independent,287,0.40%,,,,
,,,,,,,,,
City of London and Westminster South,*,PL Brooke,Conservative,20938,60.32%,54830,13369,63.31%,Conservative Hold
,,AC Smith,Labour,7569,21.81%,,,,
,,Miss JCG Smithard,Liberal Democrat,5392,15.53%,,,,
,,GES Herbert,Green,458,1.32%,,,,
,,PF Stockton,Monster Raving Loony,147,0.42%,,,,
,,A Farrell,Irish Freedom Movement,107,0.31%,,,,
,,RP Johnson,Natural Law,101,0.29%,,,,
,,,,,,,,,
Clackmannan,,MJ O'Neill,Labour,18829,49.08%,48362,8503,79.32%,Labour Hold
,,A Brophy,Scottish National,10326,26.92%,,,,
,,JA Mackie,Conservative,6638,17.30%,,,,
,,Mrs AM Watters,Social Democratic,2567,6.69%,,,,
,,,,,,,,,
Clwyd North West,,R Richards,Conservative,24488,46.23%,67352,6050,78.65%,Conservative Hold
,,CS Ruane,Labour,18438,34.81%,,,,
,,RV Ingham,Liberal Democrat,7999,15.10%,,,,
,,NH Taylor,Plaid Cymru,1888,3.56%,,,,
,,Ms. MS Swift,Natural Law,158,0.30%,,,,
,,,,,,,,,
Clwyd South West,*,MD Jones,Labour,21490,43.50%,60607,4941,81.52%,Labour Hold
,,GGV Owen,Conservative,16549,33.50%,,,,
,,WG Williams,Liberal Democrat,6027,12.20%,,,,
,,EL Jones,Plaid Cymru,4835,9.79%,,,,
,,NC Worth,Green,351,0.71%,,,,
,,Mrs JB Leadbetter,Natural Law,155,0.31%,,,,
,,,,,,,,,
Clydebank and Milngavie,*,AW Worthington,Labour,19642,53.34%,47337,12435,77.80%,Labour Hold
,,GJ Hughes,Scottish National,7207,19.57%,,,,
,,WA Harvey,Conservative,6650,18.06%,,,,
,,AG Tough,Liberal Democrat,3216,8.73%,,,,
,,Ms. J Barrie,Natural Law,112,0.30%,,,,
,,,,,,,,,
Clydesdale,*,J Hood,Labour,21418,44.59%,61914,10187,77.58%,Labour Hold
,,Ms. CE Goodwin,Conservative,11231,23.38%,,,,
,,IGM Gray,Scottish National,11084,23.08%,,,,
,,Ms. EM Buchanan,Liberal Democrat,3957,8.24%,,,,
,,SF Cartwright,British National,342,0.71%,,,,
,,,,,,,,,
Colchester North,*,BC Jenkin,Conservative,35213,51.47%,86479,16492,79.11%,Conservative Hold
,,JR Raven,Liberal Democrat,18721,27.36%,,,,
,,DJ Lee,Labour,13870,20.27%,,,,
,,MT Shabbeer,Green,372,0.54%,,,,
,,ML Mears,Natural Law,238,0.35%,,,,
,,,,,,,,,
Colchester South and Maldon,,JFL Whittingdale,Conservative,37548,54.85%,86406,21821,79.23%,Conservative Hold
,,IL Thorn,Liberal Democrat,15727,22.97%,,,,
,,CA Pearson,Labour,14158,20.68%,,,,
,,MB Paterson,Green,1028,1.50%,,,,
,,,,,,,,,
Colne Valley,*,GEG Riddick,Conservative,24804,42.00%,72029,7225,81.99%,Conservative Hold
,,JA Harman,Labour,17579,29.77%,,,,
,,NJ Priestley,Liberal Democrat,15953,27.01%,,,,
,,RJA Stewart,Green,443,0.75%,,,,
,,Mrs ME Staniforth,Monster Raving Loony,160,0.27%,,,,
,,JG Hosty,Independent,73,0.12%,,,,
,,JP Tattersall,Natural Law,44,0.07%,,,,
,,,,,,,,,
Congleton,*,Mrs JA Winterton,Conservative,29163,48.99%,70475,11120,84.47%,Conservative Hold
,,IM Brodie-Browne,Liberal Democrat,18043,30.31%,,,,
,,M Finnegan,Labour,11927,20.03%,,,,
,,P Brown,Natural Law,399,0.67%,,,,
,,,,,,,,,
Conwy,*,Sir IWP Roberts,Conservative,14250,33.73%,53668,995,78.72%,Conservative Hold
,,Rev. JR Roberts,Liberal Democrat,13255,31.38%,,,,
,,Mrs BH Williams,Labour,10883,25.76%,,,,
,,RV Davies,Plaid Cymru,3108,7.36%,,,,
,,O Wainwright,Independent Conservative,637,1.51%,,,,
,,DE Hughes,Natural Law,114,0.27%,,,,
,,,,,,,,,
Copeland,*,JA Cunningham,Labour,22328,48.67%,54911,2439,83.54%,Labour Hold
,,PG Davies,Conservative,19889,43.36%,,,,
,,RC Putnam,Liberal Democrat,3508,7.65%,,,,
,,JR Sinton,Natural Law,148,0.32%,,,,
,,,,,,,,,
Corby,*,WR Powell,Conservative,25203,44.50%,68334,342,82.89%,Conservative Hold
,,HA Feather,Labour,24861,43.89%,,,,
,,MW Rosse,Liberal Democrat,5792,10.23%,,,,
,,Ms. JI Wood,Liberal,784,1.38%,,,,
,,,,,,,,,
Cornwall North,,PA Tyler,Liberal Democrat,29696,47.41%,76333,1921,82.06%,Liberal Democrat Gain
,*,Sir GA Neale,Conservative,27775,44.34%,,,,
,,FR Jordan,Labour,4103,6.55%,,,,
,,PJ Andrews,Liberal,678,1.08%,,,,
,,G Rowe,Independent,276,0.44%,,,,
,,Mrs RH Treadwell,Natural Law,112,0.18%,,,,
,,,,,,,,,
Cornwall South East,*,RA Hicks,Conservative,30565,50.95%,73028,7704,82.14%,Conservative Hold
,,R Teverson,Liberal Democrat,22861,38.11%,,,,
,,Mrs LW Gilroy,Labour,5536,9.23%,,,,
,,Miss MH Cook,Liberal,644,1.07%,,,,
,,AOH Quick,Anti-Federalist League,227,0.38%,,,,
,,Miss R Allen,Natural Law,155,0.26%,,,,
,,,,,,,,,
Coventry North East,,RW Ainsworth,Labour,24896,52.49%,64788,11676,73.21%,Labour Hold
,,KR Perrin,Conservative,13220,27.87%,,,,
,,VJ McKee,Liberal Democrat,5306,11.19%,,,,
,*,J Hughes,Independent Labour,4008,8.45%,,,,
,,,,,,,,,
Coventry North West,*,G Robinson,Labour,20349,51.73%,50671,6432,77.63%,Labour Hold
,,Mrs AAB Hill,Conservative,13917,35.38%,,,,
,,Mrs EA Simpson,Liberal Democrat,5070,12.89%,,,,
,,,,,,,,,
Coventry South East,,JD Cunningham,Labour,11902,32.58%,48797,1311,74.87%,Labour Hold
,,Mrs M Hyams,Conservative,10591,28.99%,,,,
,*,DJ Nellist,Independent Labour,10551,28.88%,,,,
,,A Armstrong,Liberal Democrat,3318,9.08%,,,,
,,NDW Tomkinson,National Front,173,0.47%,,,,
,,,,,,,,,
Coventry South West,*,JP Butcher,Conservative,23225,45.65%,63475,1436,80.15%,Conservative Hold
,,REG Slater,Labour,21789,42.83%,,,,
,,GB Sewards,Liberal Democrat,4666,9.17%,,,,
,,R Wheway,Liberal,989,1.94%,,,,
,,DS Morris,Natural Law,204,0.40%,,,,
,,,,,,,,,
Crawley,*,ANW Soames,Conservative,30204,48.74%,78268,7765,79.17%,Conservative Hold
,,Mrs LW Moffatt,Labour,22439,36.21%,,,,
,,GK Seekings,Liberal Democrat,8558,13.81%,,,,
,,M Wilson,Green,766,1.24%,,,,
,,,,,,,,,
Crewe and Nantwich,*,Mrs GP Dunwoody,Labour,28065,45.71%,75001,2695,81.87%,Labour Hold
,,BG Silvester,Conservative,25370,41.32%,,,,
,,G Griffiths,Liberal Democrat,7315,11.91%,,,,
,,Ms. NJ Wilkinson,Green,651,1.06%,,,,
,,,,,,,,,
Crosby,*,GM Thornton,Conservative,32267,47.41%,82538,14806,82.45%,Conservative Hold
,,Miss M Eagle,Labour,17461,25.66%,,,,
,,Mrs HF Clucas,Liberal Democrat,16562,24.34%,,,,
,,J Marks,Liberal,1052,1.55%,,,,
,,FPS Brady,Green,559,0.82%,,,,
,,NL Paterson,Natural Law,152,0.22%,,,,
,,,,,,,,,
Croydon Central,,Sir AP Beresford,Conservative,22168,55.38%,55947,9650,71.55%,Conservative Hold
,,GR Davies,Labour,12518,31.27%,,,,
,,Miss DJ Richardson,Liberal Democrat,5342,13.35%,,,,
,,,,,,,,,
Croydon North East,,DL Congdon,Conservative,23835,51.39%,64874,7473,71.50%,Conservative Hold
,,Mrs MM Walker,Labour,16362,35.28%,,,,
,,J Fraser,Liberal Democrat,6186,13.34%,,,,
,,,,,,,,,
Croydon North West,,MH Wicks,Labour,19153,47.28%,57821,1527,70.06%,Labour Gain
,*,HJ Malins,Conservative,17626,43.51%,,,,
,,Mrs LF Hawkins,Liberal Democrat,3728,9.20%,,,,
,,,,,,,,,
Croydon South,,RGJ Ottaway,Conservative,31993,63.68%,64895,20425,77.42%,Conservative Hold
,,PH Billenness,Liberal Democrat,11568,23.02%,,,,
,,Miss HS Salmon,Labour,6444,12.83%,,,,
,,MRL Samuel,Independent,239,0.48%,,,,
,,,,,,,,,
Cumbernauld and Kilsyth,*,N Hogg,Labour,19855,54.02%,46515,9215,79.02%,Labour Hold
,,TR Johnston,Scottish National,10640,28.95%,,,,
,,IG Mitchell,Conservative,4143,11.27%,,,,
,,Ms. JM Haddow,Liberal Democrat,2118,5.76%,,,,
,,,,,,,,,
Cunninghame North,*,BDH Wilson,Labour,17564,40.97%,54856,2939,78.14%,Labour Hold
,,Mrs EL Clarkson,Conservative,14625,34.12%,,,,
,,DM Crossan,Scottish National,7813,18.23%,,,,
,,DJ Herbison,Liberal Democrat,2864,6.68%,,,,
,,,,,,,,,
Cunninghame South,,BH Donohoe,Labour,19687,52.93%,49025,10680,75.86%,Labour Hold
,,R Bell,Scottish National,9007,24.22%,,,,
,,SA Leslie,Conservative,6070,16.32%,,,,
,,BJ Ashley,Liberal Democrat,2299,6.18%,,,,
,,WT Jackson,Natural Law,128,0.34%,,,,
,,,,,,,,,
Cynon Valley,*,Mrs A Clwyd,Labour,26254,69.09%,49696,21364,76.46%,Labour Hold
,,AM Smith,Conservative,4890,12.87%,,,,
,,CT Benney,Plaid Cymru,4186,11.02%,,,,
,,MK Verma,Liberal Democrat,2667,7.02%,,,,
,,,,,,,,,
Dagenham,*,BC Gould,Labour,22029,52.27%,59656,6734,70.65%,Labour Hold
,,DP Rossiter,Conservative,15295,36.29%,,,,
,,CNH Marquand,Liberal Democrat,4824,11.45%,,,,
,,,,,,,,,
Darlington,,A Milburn,Labour,26556,48.06%,66094,2798,83.60%,Labour Gain
,*,MC Fallon,Conservative,23758,43.00%,,,,
,,PJ Bergg,Liberal Democrat,4586,8.30%,,,,
,,D Clarke,British National,355,0.64%,,,,
,,,,,,,,,
Dartford,*,RJ Dunn,Conservative,31194,51.85%,72373,10314,83.13%,Conservative Hold
,,Dr. HGA Stoate,Labour,20880,34.71%,,,,
,,Dr. PJ Bryden,Liberal Democrat,7584,12.61%,,,,
,,A Munro,Independent,262,0.44%,,,,
,,Ms. A Holland,Natural Law,241,0.40%,,,,
,,,,,,,,,
Daventry,*,TE Boswell,Conservative,34734,58.44%,71830,20274,82.75%,Conservative Hold
,,Mrs LMAW Koumi,Labour,14460,24.33%,,,,
,,AS Rounthwaite,Liberal Democrat,9820,16.52%,,,,
,,RB France,Natural Law,422,0.71%,,,,
,,,,,,,,,
Davyhulme,*,WS Churchill,Conservative,24216,47.98%,62667,4426,80.53%,Conservative Hold
,,B Brotherton,Labour,19790,39.21%,,,,
,,Ms. J Pearcey,Liberal Democrat,5797,11.49%,,,,
,,TL Brotheridge,Natural Law,665,1.32%,,,,
,,,,,,,,,
Delyn,,DG Hanson,Labour,24979,44.97%,66593,2039,83.40%,Labour Gain
,,MJ Whitby,Conservative,22940,41.30%,,,,
,,RC Dodd,Liberal Democrat,6208,11.18%,,,,
,,AJ Drake,Plaid Cymru,1414,2.55%,,,,
,,,,,,,,,
Denton and Reddish,*,AF Bennett,Labour,29021,55.21%,68463,12084,76.77%,Labour Hold
,,J Horswell,Conservative,16937,32.22%,,,,
